sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
MRT-003827_S1	401325	157113	39.15	156989	155441	38.73	144314	35.96
MRT-003828_S2	362637	141210	38.94	141042	135955	37.49	120470	33.22
MRT-005237_S3	442170	169389	38.31	169156	167257	37.83	158745	35.9
MRT-005239_S4	386897	147094	38.02	146800	142292	36.78	127569	32.97
MRT-005240_S5	352736	152021	43.1	151885	151034	42.82	139431	39.53
MRT-005241_S6	341003	120335	35.29	119877	116414	34.14	104559	30.66
MRT-005243_S7	452174	166543	36.83	166242	164179	36.31	147951	32.72
MRT-005244_S8	323603	130138	40.22	129815	127385	39.36	114115	35.26
MRT-005245_S9	377435	143278	37.96	143039	141851	37.58	126894	33.62
MRT-005246_S10	352299	136783	38.83	136495	135340	38.42	119250	33.85
MRT-005247_S11	342885	133868	39.04	133706	132734	38.71	121055	35.3
MRT-005248_S12	352119	141886	40.29	141770	140996	40.04	136670	38.81
MRT-005249_S13	365247	141119	38.64	141011	136012	37.24	125567	34.38
MRT-005250_S14	351931	141234	40.13	141004	139270	39.57	132475	37.64
MRT-005251_S15	357928	138106	38.58	137868	135956	37.98	125644	35.1
MRT-005252_S16	469003	188023	40.09	187886	185976	39.65	174649	37.24
MRT-005253_S17	474448	182530	38.47	182084	179954	37.93	159442	33.61
MRT-005254_S18	368156	150201	40.8	150017	148954	40.46	134873	36.63
MRT-005255_S19	390686	151964	38.9	151737	148771	38.08	140301	35.91
MRT-005256_S20	348711	119007	34.13	118497	116560	33.43	106290	30.48
MRT-005257_S21	333616	119367	35.78	118707	114574	34.34	104505	31.32
MRT-005258_S22	365635	138073	37.76	137698	134358	36.75	124740	34.12
MRT-005259_S23	375389	158403	42.2	158311	157197	41.88	153688	40.94
MRT-005260_S24	327609	124151	37.9	123831	122423	37.37	111397	34
MRT-005261_S25	357934	142432	39.79	142189	141020	39.4	137795	38.5
MRT-005262_S26	378018	151125	39.98	150946	147881	39.12	137141	36.28
MRT-005263_S27	405425	155984	38.47	155750	154302	38.06	143571	35.41
MRT-005264_S28	367553	134378	36.56	134198	132702	36.1	122551	33.34
MRT-005265_S29	380183	142345	37.44	141840	138937	36.54	125632	33.05
MRT-005266_S30	373649	154212	41.27	153997	153151	40.99	143823	38.49
MRT-005267_S31	365052	139606	38.24	139170	137960	37.79	126412	34.63
MRT-005268_S32	375855	135542	36.06	134954	132387	35.22	121294	32.27
MRT-005269_S33	371059	139918	37.71	139568	137026	36.93	125974	33.95
MRT-005270_S34	361816	138636	38.32	138389	135720	37.51	125832	34.78
